BROKERTITLE;TYPE;PRICE;BEDS;BATH;PROPERTYSQFT;ADDRESS;STATE;MAIN_ADDRESS;ADMINISTRATIVE_AREA_LEVEL_2;LOCALITY;SUBLOCALITY;STREET_NAME;LONG_NAME;FORMATTED_ADDRESS;LATITUDE;LONGITUDE
Brokered by RE MAX Edge;Multi-family home for sale;980000;3;4.0;2700.0;1 Opal Ct;Brooklyn, NY 11229;1 Opal CtBrooklyn, NY 11229;United States;New York;Kings County;Brooklyn;Opal Court;1 Opal Ct, Brooklyn, NY 11229, USA;40.586018;-73.9252126
Brokered by Sold By Bart R E Partners Inc;House for sale;800000;3;2.0;2184.207862;69-10 Penelope Ave;Middle Village, NY 11379;69-10 Penelope AveMiddle Village, NY 11379;United States;New York;Queens County;Queens;Penelope Avenue;69-10 Penelope Ave, Flushing, NY 11379, USA;40.71593;-73.8858453
Brokered by CENTURY 21 Marciano;House for sale;1299000;3;4.0;4450.0;610 City Island Ave;Bronx, NY 10464;610 City Island AveBronx, NY 10464;United States;New York;Bronx County;The Bronx;City Island Avenue;610 City Island Ave, Bronx, NY 10464, USA;40.854862;-73.7906694
Brokered by Madison Estates Sotheby's International Realty;House for sale;799000;3;2.0;1128.0;1557 E 34th St;Brooklyn, NY 11234;1557 E 34th StBrooklyn, NY 11234;United States;New York;Kings County;Brooklyn;East 34th Street;1557 E 34th St, Brooklyn, NY 11234, USA;40.6169213;-73.9415274
Brokered by Elite Real Estate Group 1 Llc;House for sale;995000;3;2.0;3080.0;1870 Haight Ave;Bronx, NY 10461;1870 Haight AveBronx, NY 10461;United States;New York;Bronx County;The Bronx;Haight Avenue;1870 Haight Ave, Bronx, NY 10461, USA;40.8513854;-73.854324
Brokered by Ashford Homes LLC;House for sale;1250000;5;3.0;2295.0;1923 66th St;Brooklyn, NY 11204;1923 66th StBrooklyn, NY 11204;United States;New York;Kings County;Brooklyn;66th Street;1923 66th St, Brooklyn, NY 11204, USA;40.617019;-73.9878352
Brokered by Tiffany Moves You Inc;Multi-family home for sale;1275000;3;4.0;2184.207862;43-02 Orient Ave;Douglaston, NY 11363;43-02 Orient AveDouglaston, NY 11363;United States;New York;Queens County;Queens;Orient Avenue;43-2 Orient Ave, Douglaston, NY 11363, USA;40.7675169;-73.7439734
Brokered by YourHomeSold Guarantee Realty;Multi-family home for sale;749999;6;3.0;3150.0;1817 Amethyst St;Bronx, NY 10462;1817 Amethyst StBronx, NY 10462;United States;New York;Bronx County;The Bronx;Amethyst Street;1817 Amethyst St, Bronx, NY 10462, USA;;
Brokered by Serhant;Townhouse for sale;2650000;5;4.0;4100.0;259 New York Ave;Brooklyn, NY 11216;259 New York AveBrooklyn, NY 11216;United States;New York;Kings County;Brooklyn;New York Avenue;259 New York Ave, Brooklyn, NY 11216, USA;40.6711016;-73.9473427
Brokered by Yoreevo;Co-op for sale;999000;2;1.0;2184.207862;139 W 85th St Apt 3;New York, NY 10024;139 W 85th St Apt 3New York, NY 10024;New York;New York County;New York;Manhattan;139;139 W 85th St Apartment 3, New York, NY 10024, USA;40.7866659;-73.974142
Brokered by Sold By Bart R E Partners Inc;Co-op for sale;279000;2;1.0;2184.207862;84-70 129th St Unit 1V;Kew Gardens, NY 11415;84-70 129th St Unit 1VKew Gardens, NY 11415;New York;Queens County;Queens;Kew Gardens;8470;8470 129th St Apt 1h, Kew Gardens, NY 11415, USA;40.7069299;-73.82404
Brokered by Ditommaso Real Estate;Condo for sale;479000;2;2.0;1008.0;57 Stone Ln Unit 2;Staten Island, NY 10314;57 Stone Ln Unit 2Staten Island, NY 10314;New York;Richmond County;Staten Island;New Springville;57;57 Stone Ln #2, Staten Island, NY 10314, USA;40.5782884;-74.1583011
Brokered by Douglas Elliman  -111 Fifth Ave;Co-op for sale;2300000;2;2.0;1600.0;242 E 7th St Unit Ph;New York, NY 10009;242 E 7th St Unit PhNew York, NY 10009;United States;New York;New York County;New York;East 7th Street;242 E 7th St, New York, NY 10009, USA;40.7236159;-73.9781735
Brokered by Signature Premier Properties;Pending;294000;1;2.0;1074.0;26910 Grand Central Pkwy Apt 15A;Floral Park, NY 11005;26910 Grand Central Pkwy Apt 15AFloral Park, NY 11005;New York;Queens County;Queens;Glen Oaks;26910;26910 Grand Central Pkwy #15a, Queens, NY 11005, USA;40.7577991;-73.7159564
Brokered by Exp Realty;Multi-family home for sale;1390000;6;5.0;2245.0;104-30 219th St;Jamaica, NY 11429;104-30 219th StJamaica, NY 11429;United States;New York;Queens County;Queens;219th Street;104-30 219th St, Jamaica, NY 11429, USA;40.7111134;-73.7361784
Brokered by COMPASS;Co-op for sale;450000;3;2.0;1026.0;97-10 62nd Dr Unit 8E;Rego Park, NY 11374;97-10 62nd Dr Unit 8ERego Park, NY 11374;New York;Queens County;Queens;Rego Park;97-10;97-10 62nd Dr #8e, Rego Park, NY 11374, USA;40.7323502;-73.8611654
Brokered by Bond New York- Columbus Circle;Co-op for sale;999000;3;2.0;2184.207862;203 W 102nd St Apt 1F;New York, NY 10025;203 W 102nd St Apt 1FNew York, NY 10025;New York;New York County;New York;Manhattan;203;203 W 102nd St #1f, New York, NY 10025, USA;40.7982086;-73.9680164
Brokered by Robert Defalco Realty, Inc.;House for sale;1999000;4;4.0;3420.0;221 Benedict Rd;Staten Island, NY 10304;221 Benedict RdStaten Island, NY 10304;United States;New York;Richmond County;Staten Island;Benedict Road;221 Benedict Rd, Staten Island, NY 10304, USA;40.5939144;-74.1059876
Brokered by BLACKWATER ASSOCIATES INC;Mobile house for sale;1288000;6;3.0;2184.207862;31-50 Buell St;East Elmhurst, NY 11369;31-50 Buell StEast Elmhurst, NY 11369;United States;New York;Queens County;Queens;Buell Street;31-50 Buell St, Flushing, NY 11369, USA;40.760908;-73.861558
NoBroker;Multi-family home for sale;639888;5;3.0;1376.0;226 Dover Grn;Staten Island, NY 10312;226 Dover GrnStaten Island, NY 10312;United States;;Richmond County;Staten Island;Dover Green;226 Dover Green, Staten Island, NY 10312, USA;40.5564024;-74.1975285
Brokered by COMPASS;House for sale;569900;4;2.0;2180.0;69 Sherman Ave;Staten Island, NY 10301;69 Sherman AveStaten Island, NY 10301;United States;New York;Richmond County;Staten Island;Sherman Avenue;69 Sherman Ave, Staten Island, NY 10301, USA;40.6395577;-74.0807615
Brokered by Sweet Key Realty Group Inc;House for sale;1630000;7;4.0;2184.207862;47-34 Glenwood St;Little Neck, NY 11362;47-34 Glenwood StLittle Neck, NY 11362;United States;New York;Queens County;Queens;Glenwood Street;47-34 Glenwood St, Flushing, NY 11362, USA;40.7704732;-73.7318799
Brokered by EXIT REALTY ACHIEVE;Multi-family home for sale;689888;3;2.0;1300.0;11431 120th St;South Ozone Park, NY 11420;11431 120th StSouth Ozone Park, NY 11420;United States;New York;Queens County;Queens;120th Street;114-31 120th St, Jamaica, NY 11420, USA;40.6780811;-73.8188973
Brokered by E Realty International Corp;Co-op for sale;378000;2;1.0;2184.207862;150-10 Melbourne Ave Unit 368A;Flushing, NY 11367;150-10 Melbourne Ave Unit 368AFlushing, NY 11367;New York;Queens County;Queens;Flushing;15010;15010 Melbourne Ave # 368b, Flushing, NY 11367, USA;40.7341999;-73.81974
Brokered by Corcoran Westside Columbus;Townhouse for sale;23900000;6;;7110.0;248 W 71st St;New York, NY 10023;248 W 71st StNew York, NY 10023;United States;New York;New York County;New York;West 71st Street;248 W 71st St, New York, NY 10023, USA;40.7785441;-73.9840907
Brokered by O Kane Realty;Co-op for sale;149000;1;1.0;2184.207862;112-50 Northern Blvd Unit 1E;Corona, NY 11368;112-50 Northern Blvd Unit 1ECorona, NY 11368;New York;Queens County;Queens;Corona;11250;11250 Northern Blvd Apt 1f, Corona, NY 11368, USA;40.7581299;-73.8569399
Brokered by Re/Max Edge;House for sale;589000;4;3.0;1320.0;92 Arlington Pl;Staten Island, NY 10303;92 Arlington PlStaten Island, NY 10303;United States;New York;Richmond County;Staten Island;Arlington Place;92 Arlington Pl, Staten Island, NY 10303, USA;40.63567;-74.166895
Brokered by ProBase Real Estate;Pending;958000;3;2.0;2259.0;50 Tyndale St;Staten Island, NY 10312;50 Tyndale StStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Tyndale Street;50 Tyndale St, Staten Island, NY 10312, USA;40.5292852;-74.1685622
Brokered by East Coast REALTORS Inc;Co-op for sale;195000;1;1.0;2184.207862;44-20 Douglaston Pkwy Unit 2G;Douglaston, NY 11363;44-20 Douglaston Pkwy Unit 2GDouglaston, NY 11363;New York;Queens County;Queens;Flushing;44-20;44-20 Douglaston Pkwy #2a, Flushing, NY 11363, USA;40.7659255;-73.7453922
Brokered by Comfort Homes Realty Group;House for sale;299000;1;1.0;608.0;51 Seafoam St;Staten Island, NY 10306;51 Seafoam StStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Seafoam Street;51 Seafoam St, Staten Island, NY 10306, USA;40.5638362;-74.0989788
Brokered by RE MAX 1st Choice;House for sale;1750000;4;4.0;3645.0;2-11 147 St;Whitestone, NY 11357;2-11 147 StWhitestone, NY 11357;United States;New York;Queens County;Queens;147th Street;2-11 147th St, Flushing, NY 11357, USA;40.7968959;-73.822999
Brokered by Douglas Elliman - Bayside;Townhouse for sale;815000;3;2.0;2184.207862;62-14 80th St;Middle Village, NY 11379;62-14 80th StMiddle Village, NY 11379;United States;New York;Queens County;Queens;80th Street;62-14 80th St, Flushing, NY 11379, USA;40.722658;-73.877617
Brokered by Best American Homes Inc;Multi-family home for sale;989000;5;3.0;2184.207862;34-21 83rd St;Jackson Heights, NY 11372;34-21 83rd StJackson Heights, NY 11372;United States;New York;Queens County;Queens;83rd Street;34-21 83rd St, Flushing, NY 11372, USA;40.7531679;-73.8836878
Brokered by Corcoran Park Slope;Condo for sale;1075000;2;2.0;2184.207862;357 W 30th St # 5/6;New York, NY 10001;357 W 30th St # 5/6New York, NY 10001;United States;New York;New York County;New York;West 30th Street;357 W 30th St, New York, NY 10001, USA;40.7507895;-73.9974127
Brokered by Douglas Elliman - 3544 Johnson Ave;House for sale;879000;2;1.0;1000.0;1175 York Ave Apt 7B;New York, NY 10065;1175 York Ave Apt 7BNew York, NY 10065;New York;New York County;New York;Manhattan;1175;1175 York Ave #7b, New York, NY 10065, USA;40.7615369;-73.9579786
Brokered by Corcoran Chelsea/Flatiron;Co-op for sale;999995;2;1.0;2184.207862;126 E 12th St Apt 6A;New York, NY 10003;126 E 12th St Apt 6ANew York, NY 10003;New York;New York County;New York;Manhattan;126;126 E 12th St #6a, New York, NY 10003, USA;40.7321997;-73.9888999
Brokered by Robert E. Hill, Inc.;Co-op for sale;430000;2;2.0;1200.0;2727 Palisade Ave Apt 5B;Bronx, NY 10463;2727 Palisade Ave Apt 5BBronx, NY 10463;New York;Bronx County;The Bronx;Spuyten Duyvil;2727;2727 Palisade Ave #5b, Bronx, NY 10463, USA;40.8830657;-73.9206428
NoBroker;Co-op for sale;445000;3;2.0;2184.207862;138-10 Franklin Ave Unit 1K;Flushing, NY 11355;138-10 Franklin Ave Unit 1KFlushing, NY 11355;New York;Queens County;Queens;Flushing;138-10;138-10 Franklin Ave #1g, Flushing, NY 11355, USA;40.7547252;-73.8255572
Brokered by RE MAX Real Estate Professionals;House for sale;999000;3;2.0;1900.0;1123 Bay Ridge Pkwy;Brooklyn, NY 11228;1123 Bay Ridge PkwyBrooklyn, NY 11228;United States;New York;Kings County;Brooklyn;Bay Ridge Parkway;1123 Bay Ridge Pkwy, Brooklyn, NY 11228, USA;40.6228038;-74.0109676
Brokered by Keller Williams Realty Greater Nassau;House for sale;2299000;6;4.0;2184.207862;99-07 70th Ave;Forest Hills, NY 11375;99-07 70th AveForest Hills, NY 11375;United States;New York;Queens County;Queens;70th Avenue;99-07 70th Ave, Flushing, NY 11375, USA;40.7171982;-73.8496941
Brokered by Tapestry Real Estate of Queens;House for sale;1225000;4;2.0;1960.0;36-19 217 St;Bayside, NY 11361;36-19 217 StBayside, NY 11361;United States;New York;Queens County;Queens;217th Street;36-19 217th St, Flushing, NY 11361, USA;40.7684802;-73.7666662
Brokered by EXIT REALTY ONE;House for sale;849000;3;2.0;2184.207862;85-05 Eliot Ave;Rego Park, NY 11374;85-05 Eliot AveRego Park, NY 11374;United States;New York;Queens County;Queens;Eliot Avenue;85-05 Eliot Ave, Flushing, NY 11374, USA;40.7282284;-73.8732527
Brokered by Winzone Realty Inc;House for sale;1350000;4;3.0;1760.0;75-57 186th St;Fresh Meadows, NY 11366;75-57 186th StFresh Meadows, NY 11366;United States;New York;Queens County;Queens;186th Street;75-57 186th St, Flushing, NY 11366, USA;40.7293576;-73.7830175
Brokered by NEUHAUS REALTY, INC.;House for sale;1600000;4;4.0;3150.0;780 Ionia Ave;Staten Island, NY 10312;780 Ionia AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Ionia Avenue;780 Ionia Ave, Staten Island, NY 10312, USA;40.5364873;-74.1987178
Brokered by COMPASS;Condo for sale;600000;3;1.0;441.0;1 Central Park W Unit 612;Manhattan, NY 10023;1 Central Park W Unit 612Manhattan, NY 10023;New York;New York County;New York;Manhattan;1;1 Central Park W #612, New York, NY 10023, USA;40.7691094;-73.98162
Brokered by Douglas Elliman - 140 Franklin;Co-op for sale;435000;3;1.0;2184.207862;269 W 72nd St Apt 12D;New York, NY 10023;269 W 72nd St Apt 12DNew York, NY 10023;New York;New York County;New York;Manhattan;269;269 W 72nd St #12d, New York, NY 10023, USA;;
Brokered by Compass Greater New York, LLC;Pending;4999999;4;4.0;4342.0;8002 Harbor View Ter;Brooklyn, NY 11209;8002 Harbor View TerBrooklyn, NY 11209;United States;New York;Kings County;Brooklyn;Harbor View Terrace;8002 Harbor View Terrace, Brooklyn, NY 11209, USA;40.6301693;-74.0384351
Brokered by Corcoran East Side;Pending;800000;3;;2184.207862;1433 E 105th St;Brooklyn, NY 11236;1433 E 105th StBrooklyn, NY 11236;United States;New York;Kings County;Brooklyn;East 105th Street;1433 E 105th St, Brooklyn, NY 11236, USA;40.6388264;-73.8846089
Brokered by Compass Greater New York, LLC;Co-op for sale;329000;1;1.0;750.0;302 96th St Apt 4L;Brooklyn, NY 11209;302 96th St Apt 4LBrooklyn, NY 11209;New York;Kings County;Brooklyn;Fort Hamilton;302;302 96th St #4l, Brooklyn, NY 11209, USA;40.61593;-74.0335829
Brokered by Brown Harris Stevens;Townhouse for sale;10975000;3;4.0;2184.207862;12 College Pl Unit Townhouse;Brooklyn, NY 11201;12 College Pl Unit TownhouseBrooklyn, NY 11201;United States;New York;Kings County;Brooklyn;College Place;12 College Pl, Brooklyn, NY 11201, USA;40.6963652;-73.9941542
Brokered by Keystone Realty USA Corp;House for sale;599000;4;2.0;2184.207862;106-09 169th St;Jamaica, NY 11433;106-09 169th StJamaica, NY 11433;United States;New York;Queens County;Queens;169th Street;106-09 169th St, Jamaica, NY 11433, USA;40.7003331;-73.7875164
Brokered by Chase Global Realty Corp;House for sale;699999;4;2.0;2184.207862;18 Pine St;Brooklyn, NY 11208;18 Pine StBrooklyn, NY 11208;United States;New York;Kings County;Brooklyn;Pine Street;18 Pine St, Brooklyn, NY 11208, USA;40.6862137;-73.8740777
Brokered by Keller Williams Rlty Landmark;Pending;539000;1;1.0;725.0;207-07 Estates Dr Unit 1;Bayside, NY 11360;207-07 Estates Dr Unit 1Bayside, NY 11360;New York;;Queens;Bayside;207-7;207-7 Estates Dr #1, Bayside, NY 11360, USA;40.7865988;-73.7862803
Brokered by ETPG - Eastpointe Properties Group;Co-op for sale;370000;3;1.0;2184.207862;35 E 30th St Apt 6D;New York, NY 10016;35 E 30th St Apt 6DNew York, NY 10016;New York;New York County;New York;Manhattan;35;35 E 30th St #6d, New York, NY 10016, USA;40.7450423;-73.9839731
Brokered by BRPI - Brooklyn Real Property;Townhouse for sale;1499000;9;6.0;2184.207862;2619 Shore Pkwy;Brooklyn, NY 11223;2619 Shore PkwyBrooklyn, NY 11223;United States;New York;Kings County;Brooklyn;Shore Parkway;2619 Shore Pkwy, Brooklyn, NY 11223, USA;40.583514;-73.9738903
Brokered by Douglas Elliman - 1995 Broadway;Co-op for sale;299000;1;1.0;2184.207862;318 W 36th St Apt 3A;New York, NY 10018;318 W 36th St Apt 3ANew York, NY 10018;New York;New York County;New York;Manhattan;318;318 W 36th St. #3a, New York, NY 10018, USA;40.7538054;-73.9935323
Brokered by NEUHAUS REALTY INC.;House for sale;2400000;5;4.0;3800.0;57 Mace St;Staten Island, NY 10306;57 Mace StStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Mace Street;57 Mace St, Staten Island, NY 10306, USA;40.5752476;-74.1304878
Brokered by Avenues - Headquarters;Condo for sale;275000;1;1.0;850.0;3202 Nostrand Ave Apt 6E;Brooklyn, NY 11229;3202 Nostrand Ave Apt 6EBrooklyn, NY 11229;New York;Kings County;Brooklyn;Madison;3202;3202 Nostrand Ave. #6e, Brooklyn, NY 11229, USA;40.6056272;-73.943238
Brokered by Brown Harris Stevens - 1926 Broadway;Co-op for sale;1395000;3;3.0;1750.0;789 W End Ave Unit 1A2;Manhattan, NY 10025;789 W End Ave Unit 1A2Manhattan, NY 10025;New York;New York County;New York;Manhattan;789;789 West End Ave #1a2, New York, NY 10025, USA;40.7971343;-73.9722076
Brokered by EXIT REALTY TOP PROPERTIES;Condo for sale;568000;2;1.0;550.0;1759 Bay Ridge Pkwy Unit 3E;Brooklyn, NY 11204;1759 Bay Ridge Pkwy Unit 3EBrooklyn, NY 11204;New York;Kings County;Brooklyn;Bensonhurst;1759;1759 Bay Ridge Pkwy #3e, Brooklyn, NY 11204, USA;40.6141211;-73.9966616
Brokered by Alexiou Realty;Multi-family home for sale;1049000;3;2.0;2184.207862;20-46 41st St;Astoria, NY 11105;20-46 41st StAstoria, NY 11105;United States;New York;Queens County;Queens;41st Street;20-46 41st St, Astoria, NY 11105, USA;40.7751162;-73.902397
Brokered by EXIT REALTY TOP PROPERTIES;Condo for sale;568000;2;1.0;550.0;1759 Bay Ridge Pkwy Unit 3E;Brooklyn, NY 11204;1759 Bay Ridge Pkwy Unit 3EBrooklyn, NY 11204;New York;Kings County;Brooklyn;Bensonhurst;1759;1759 Bay Ridge Pkwy #3e, Brooklyn, NY 11204, USA;40.6141211;-73.9966616
Brokered by Alexiou Realty;Multi-family home for sale;1049000;3;2.0;2184.207862;20-46 41st St;Astoria, NY 11105;20-46 41st StAstoria, NY 11105;United States;New York;Queens County;Queens;41st Street;20-46 41st St, Astoria, NY 11105, USA;40.7751162;-73.902397
Brokered by E Realty International Corp;House for sale;899000;4;2.0;1200.0;22-15 Whitestone Expy;Whitestone, NY 11357;22-15 Whitestone ExpyWhitestone, NY 11357;United States;New York;Queens County;Queens;Whitestone Expressway;22-15 Whitestone Expy, Whitestone, NY 11357, USA;40.7791608;-73.8257555
Brokered by Keller Williams NYC;Co-op for sale;495000;1;1.0;2184.207862;257 W 86th St Unit 8C;New York, NY 10024;257 W 86th St Unit 8CNew York, NY 10024;New York;New York County;New York;Manhattan;257;257 W 86th St #8c, New York, NY 10024, USA;40.7885633;-73.9767931
Brokered by Nest Seekers International, Midtown;House for sale;535000;3;3.0;1328.0;1303 College Ave;Bronx, NY 10456;1303 College AveBronx, NY 10456;United States;New York;Bronx County;The Bronx;College Avenue;1303 College Ave, Bronx, NY 10456, USA;40.8355073;-73.9119966
Brokered by Gillani Homes Inc.;House for sale;799999;3;2.0;1596.0;364 Mosely Ave;Staten Island, NY 10312;364 Mosely AveStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Mosely Avenue;364 Mosely Ave, Staten Island, NY 10312, USA;40.5419604;-74.1682869
Brokered by COMPASS;Condo for sale;1989000;2;2.0;1274.0;406 W 45th St Apt 3D;Manhattan, NY 10036;406 W 45th St Apt 3DManhattan, NY 10036;New York;New York County;New York;Manhattan;406;406 W 45th St #3d, New York, NY 10036, USA;40.7603978;-73.9919328
Brokered by RE MAX Voyage;House for sale;699000;6;4.0;2223.0;873 Fox St;Bronx, NY 10459;873 Fox StBronx, NY 10459;United States;New York;Bronx County;The Bronx;Fox Street;873 Fox St, Bronx, NY 10459, USA;40.818678;-73.8954715
Brokered by EXIT REALTY GROUP;Co-op for sale;369000;1;1.0;900.0;2400 Johnson Ave Apt 9C;Bronx, NY 10463;2400 Johnson Ave Apt 9CBronx, NY 10463;10463;United States;New York;The Bronx;2400;2400 Johnson Ave #9c, Bronx, NY 10463, USA;40.8763984;-73.9184692
Brokered by Realty Trends Corp;House for sale;599000;4;4.0;2100.0;22-63 Nameoke Ave;Far Rockaway, NY 11691;22-63 Nameoke AveFar Rockaway, NY 11691;United States;;Queens County;Queens;Nameoke Avenue;22-63 Nameoke Ave, Far Rockaway, NY 11691, USA;40.6083635;-73.7565424
Brokered by GOLDEN REAL CORP.;Co-op for sale;169000;1;1.0;680.0;2821 Kings Hwy Apt 1N;Brooklyn, NY 11229;2821 Kings Hwy Apt 1NBrooklyn, NY 11229;New York;Kings County;Brooklyn;Midwood;2821;2821 Kings Hwy Apt 1n, Brooklyn, NY 11229, USA;40.6150193;-73.9464928
Brokered by Elite Real Estate Group 1 Llc;House for sale;749000;3;2.0;1600.0;1243 Rhinelander Ave;Bronx, NY 10461;1243 Rhinelander AveBronx, NY 10461;United States;New York;Bronx County;The Bronx;Rhinelander Avenue;1243 Rhinelander Ave, Bronx, NY 10461, USA;;
Brokered by RAIMONDO RONALD;House for sale;1099000;5;4.0;3500.0;310 Jefferson Blvd;Staten Island, NY 10312;310 Jefferson BlvdStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Jefferson Boulevard;310 Jefferson Blvd, Staten Island, NY 10312, USA;40.5457789;-74.1847061
Brokered by EXP Realty;Townhouse for sale;475000;2;2.0;1364.0;266 Corona Ave;Staten Island, NY 10306;266 Corona AveStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Corona Avenue;266 Corona Ave, Staten Island, NY 10306, USA;40.5634891;-74.1422664
Brokered by Weichert, Realtors - Larchmont;Co-op for sale;124900;1;1.0;676.0;3535 Kings College Pl Apt 3E;Bronx, NY 10467;3535 Kings College Pl Apt 3EBronx, NY 10467;New York;Bronx County;The Bronx;Norwood;3535;3535 Kings College Pl #3e, Bronx, NY 10467, USA;40.880833;-73.8758596
Brokered by RE/MAX Elite;Contingent;619000;3;2.0;1943.0;170 Russek Dr;Staten Island, NY 10312;170 Russek DrStaten Island, NY 10312;United States;New York;Richmond County;Staten Island;Russek Drive;170 Russek Dr, Staten Island, NY 10312, USA;40.5478529;-74.1993422
Brokered by Neuhaus Realty, Inc.;Contingent;599000;3;1.0;1008.0;14 Cascade St;Staten Island, NY 10306;14 Cascade StStaten Island, NY 10306;United States;New York;Richmond County;Staten Island;Cascade Street;14 Cascade St, Staten Island, NY 10306, USA;40.5819307;-74.1025463
Brokered by Wonica REALTORS & Appraisers;Contingent;689900;3;2.0;1486.0;72 Campus Rd;Staten Island, NY 10301;72 Campus RdStaten Island, NY 10301;United States;New York;Richmond County;Staten Island;Campus Road;72 Campus Rd, Staten Island, NY 10301, USA;40.6126021;-74.0930021
Brokered by Corcoran Williamsburg Bedford;House for sale;5900000;7;8.0;10100.0;5020 Grosvenor Ave;Bronx, NY 10471;5020 Grosvenor AveBronx, NY 10471;United States;New York;Bronx County;The Bronx;Grosvenor Avenue;5020 Grosvenor Ave, Bronx, NY 10471, USA;40.897896;-73.903306
Brokered by Exp Realty;Condo for sale;249000;2;1.0;815.0;1718 Purdy St Apt Mb;Bronx, NY 10462;1718 Purdy St Apt MbBronx, NY 10462;United States;New York;Bronx County;The Bronx;Purdy Street;1718 Purdy St, Bronx, NY 10462, USA;40.840962;-73.854142
NoBroker;Condo for sale;509000;3;1.0;2184.207862;91-10 34th Ave Unit 5J;Jackson Heights, NY 11372;91-10 34th Ave Unit 5JJackson Heights, NY 11372;New York;Queens County;Queens;Jackson Heights;91-10;91-10 34th Ave #5j, Jackson Heights, NY 11372, USA;40.7544029;-73.876343
Brokered by Red Door Realty Group;Townhouse for sale;549000;3;2.0;1150.0;51 Forest Ln;Staten Island, NY 10307;51 Forest LnStaten Island, NY 10307;United States;New York;Richmond County;Staten Island;Forest Lane;51 Forest Ln, Staten Island, NY 10307, USA;40.5032035;-74.2388518
Brokered by Brown Harris Stevens;Townhouse for sale;2995000;4;6.0;2184.207862;221 Mac Donough St Unit Townhouse;Brooklyn, NY 11233;221 Mac Donough St Unit TownhouseBrooklyn, NY 11233;United States;New York;Kings County;Brooklyn;MacDonough Street;221 MacDonough St, Brooklyn, NY 11233, USA;40.6819529;-73.9373297
Brokered by Re/Max In The City;Multi-family home for sale;1999000;6;4.0;3850.0;6140 Delafield Ave;Bronx, NY 10471;6140 Delafield AveBronx, NY 10471;United States;New York;Bronx County;The Bronx;Delafield Avenue;6140 Delafield Ave, Bronx, NY 10471, USA;40.9110703;-73.9017893
Brokered by Rock Home Realty Group Inc;Multi-family home for sale;350000;3;;2184.207862;450 Cyrus Pl;Bronx, NY 10458;450 Cyrus PlBronx, NY 10458;United States;New York;Bronx County;The Bronx;Cyrus Place;450 Cyrus Pl, Bronx, NY 10458, USA;40.8585142;-73.8918995
Brokered by Exp Realty;Co-op for sale;269000;1;1.0;2184.207862;21-57 33rd St Unit 5E;Astoria, NY 11105;21-57 33rd St Unit 5EAstoria, NY 11105;New York;Queens County;Queens;Astoria;21-57;21-57 33rd St #5e, Astoria, NY 11105, USA;40.7759232;-73.9087334
Brokered by TREBACH REALTY INC;House for sale;7500000;6;;2184.207862;5000 Iselin Ave;Bronx, NY 10471;5000 Iselin AveBronx, NY 10471;United States;New York;Bronx County;The Bronx;Iselin Avenue;5000 Iselin Ave, Bronx, NY 10471, USA;40.8982423;-73.904797
Brokered by Sotheby's International Realty, Inc.;Townhouse for sale;9950000;10;10.0;2184.207862;22 E 93rd St;New York, NY 10128;22 E 93rd StNew York, NY 10128;United States;;New York County;New York;East 93rd Street;22 E 93rd St, New York, NY 10128, USA;40.7852855;-73.9560385
Brokered by COMPASS;Condo for sale;2200000;3;4.0;1779.0;530 E 76th St Unit 27CD;Manhattan, NY 10021;530 E 76th St Unit 27CDManhattan, NY 10021;New York;New York County;New York;Manhattan;530;530 E 76th St #27c, New York, NY 10021, USA;40.7685084;-73.9499965
Brokered by PREMIERE REAL ESTATE GROUP INC;House for sale;479000;4;2.0;1800.0;140-27 183rd St;Springfield Gardens, NY 11413;140-27 183rd StSpringfield Gardens, NY 11413;United States;New York;Queens County;Queens;183rd Street;140-27 183rd St, Jamaica, NY 11413, USA;40.6714818;-73.7606794
Brokered by COMPASS;Co-op for sale;60000000;8;8.0;2184.207862;960 5th Ave Unit 12;Manhattan, NY 10075;960 5th Ave Unit 12Manhattan, NY 10075;New York;New York County;New York;Manhattan;960;960 5th Ave #12, New York, NY 10075, USA;40.7756423;-73.9642465
Brokered by Benjamin Realty Since 1980;Co-op for sale;329000;1;1.0;2184.207862;6 Burns St Apt 111;Forest Hills, NY 11375;6 Burns St Apt 111Forest Hills, NY 11375;New York;Queens County;Queens;Forest Hills;6;6 Burns St Apt 111, Forest Hills, NY 11375, USA;40.7193051;-73.8453248
Brokered by Douglas Elliman  -111 Fifth Ave;Pending;1500000;5;7.0;4384.0;815 Riverside Dr;New York, NY 10032;815 Riverside DrNew York, NY 10032;United States;New York;New York County;New York;Riverside Drive;815 Riverside Dr, New York, NY 10032, USA;40.8354875;-73.9459545
Brokered by Sowae Corp;Multi-family home for sale;560000;3;;2184.207862;819 E 22nd St;Brooklyn, NY 11210;819 E 22nd StBrooklyn, NY 11210;United States;New York;Kings County;Brooklyn;East 22nd Street;819 E 22nd St, Brooklyn, NY 11210, USA;40.632221;-73.955309
